,,,,,,,,,,
1990-1991 TOULOUSE-BLAGNAC ROSTER,#,N,PLAYER,A,BORN,BIRTHPLACE,HT,WT,S,
,#13,,Augustin Gillardin (F),38,1985,"Bastia, FRA",188,88,L,
,#23,,François Hernández (F),37,1986,"Chartres, FRA",180,70,L,
,#16,,David Norström (F),37,1987,"Växjö, SWE",181,86,L,
,#76,,Antoine Pelisse (F),40,1983,"Valence, FRA",186,77,R,
,#3,,Jeremy Pradel (F),34,1990,"Toulouse, FRA",177,80,R,
,#19,,Christophe Ribanelli (C),46,1977,"Le Plessis-Bouchard, FRA",172,68,L,
,#9,,"Maurice Rozenthal (C)""C""",49,1975,"Dunkerque, FRA",177,79,R,
,#14,,Sébastien Savajol (F),42,1982,"Toulon, FRA",172,70,L,
,#10,,Anthony Wagret (F),38,1985,"Valenciennes, FRA",185,90,L,
2011-2012 TOULOUSE-BLAGNAC ROSTER,,,,,,,,,,
,#,N,PLAYER,A,BORN,BIRTHPLACE,HT,WT,S,
GOALTENDERS,,,,,,,,,,
,#72,,Niklas Lehti (G),34,1990,"Reading, GBR",186,87,L,
,#30,,Thibault Saez (G),36,1988,"Cholet, FRA",188,85,L,
DEFENSEMEN,,,,,,,,,,
,#16,,Taneli Ahlfors (D),35,1988,"Noormarkku, FIN",189,92,L,
,,,Antoine Barthe (D),43,1981,,187,82,-0,
,#26,,Karl Dewolf (D),52,1972,"Lille, FRA",180,77,L,
,#81,,Robin Drogue (D),33,1991,"Saint-Martin-d'Hères, FRA",193,100,L,
,#4,,"Damien Gadiot (D)""A""",38,1985,"Toulouse, FRA",180,78,L,
,#32,,David Gaydon (D),36,1987,"Sallanches, FRA",175,74,L,
,#21,,Kirk Golden (D/F),39,1984,"Vail, CO, USA",178,79,L,
,#74,,Maxime Michaud (D),36,1987,"Thonon-les-Bains, FRA",187,88,L,
,#18,,"Rémi Peronnard (C/D)""A""",38,1985,"Grenoble, FRA",190,92,L,
,#12,,Benoît Pourtanel (D),50,1974,"Ris-Orangis, FRA",180,86,L,
,#44,,Terry Prunier (D),40,1984,"Rouen, FRA",186,88,L,
,#77,,Harold Ten Braak (D),39,1984,"Dammarie-les-Lys, FRA",187,80,L,
FORWARDS,,,,,,,,,,
,#17,,Alexis Codevelle (F),37,1986,"Lyon, FRA",180,65,L,
,#22,,Rémi Doroginsky (LW),32,1991,,180,73,R,
,#92,,Maxime Faup (C),32,1992,"Toulouse, FRA",178,72,L,
,#13,,Augustin Gillardin (F),38,1985,"Bastia, FRA",188,88,L,
,#71,,Jimi Palanto (C/LW),34,1990,"Tampere, FIN",178,70,L,
,#76,,"Antoine Pelisse (F)""C""",40,1983,"Valence, FRA",186,77,R,
,#3,,Jeremy Pradel (F),34,1990,"Toulouse, FRA",177,80,R,
,#19,,Christophe Ribanelli (C),46,1977,"Le Plessis-Bouchard, FRA",172,68,L,
,#14,,Sébastien Savajol (F),42,1982,"Toulon, FRA",172,70,L,
,#10,,Anthony Wagret (F),38,1985,"Valenciennes, FRA",185,90,L,
2012-2013 TOULOUSE-BLAGNAC ROSTER,,,,,,,,,,
,#,N,PLAYER,A,BORN,BIRTHPLACE,HT,WT,S,
GOALTENDERS,,,,,,,,,,
,#1,,Sami Koskela (G),34,1989,"Pirkkala, FIN",185,78,L,
,#30,,Thomas Labonne (G),34,1990,,-0,-0,L,
